KanbanID,Part No.,Part ID,Create_date
027220,X1700B024V,024,29/09/2021 9:52
1833425,X1700B186V,186,29/09/2021 9:52
1833426,X1700B186V,186,29/09/2021 9:52
1833427,X1700B186V,186,29/09/2021 9:52
1833428,X1700B186V,186,29/09/2021 9:52
1833429,X1700B186V,186,29/09/2021 9:52
1833430,X1700B186V,186,29/09/2021 9:52
1833431,X1700B186V,186,29/09/2021 9:52
1833432,X1700B186V,186,29/09/2021 9:52
1833433,X1700B186V,186,29/09/2021 9:52
1833434,X1700B186V,186,29/09/2021 9:52
1833435,X1700B186V,186,29/09/2021 9:52
1833436,X1700B186V,186,29/09/2021 9:52
1834155,X1700B143V,143,29/09/2021 9:52
1834161,X1700B143V,143,29/09/2021 9:52
1834162,X1700B143V,143,29/09/2021 9:52
1834163,X1700B143V,143,29/09/2021 9:52
1834165,X1700B143V,143,29/09/2021 9:52
1834166,X1700B143V,143,29/09/2021 9:52
1834167,X1700B143V,143,29/09/2021 9:52
1834168,X1700B143V,143,29/09/2021 9:52
1834169,X1700B143V,143,29/09/2021 9:52
1834170,X1700B143V,143,29/09/2021 9:52
1834171,X1700B143V,143,29/09/2021 9:52
1834172,X1700B143V,143,29/09/2021 9:52
1834173,X1700B143V,143,29/09/2021 9:52
1834174,X1700B143V,143,29/09/2021 9:52
3132903,X1700B024V,024,29/09/2021 9:52
3132904,X1700B024V,024,29/09/2021 9:52
3132905,X1700B024V,024,29/09/2021 9:52
3745267,XX1700B500,500,29/09/2021 9:52
3745268,XX1700B500,500,29/09/2021 9:52
3745269,XX1700B500,500,29/09/2021 9:52
3745270,XX1700B500,500,29/09/2021 9:52
3745271,XX1700B500,500,29/09/2021 9:52
3745272,XX1700B500,500,29/09/2021 9:52
3745273,XX1700B500,500,29/09/2021 9:52
3745274,XX1700B500,500,29/09/2021 9:52
3745275,XX1700B500,500,29/09/2021 9:52
3745276,XX1700B500,500,29/09/2021 9:52
3745277,XX1700B500,500,29/09/2021 9:52
3745278,XX1700B500,500,29/09/2021 9:52
3745279,XX1700B500,500,29/09/2021 9:52
3745280,XX1700B500,500,29/09/2021 9:52
3745281,XX1700B500,500,29/09/2021 9:52
3745282,XX1700B500,500,29/09/2021 9:52
3745283,XX1700B500,500,29/09/2021 9:52
3745284,XX1700B500,500,29/09/2021 9:52
3745285,XX1700B500,500,29/09/2021 9:52
3745286,XX1700B500,500,29/09/2021 9:52
3745287,XX1700B500,500,29/09/2021 9:52
3745288,XX1700B500,500,29/09/2021 9:52
